Temperature threshold,global_slope_up,global_slope_down,Northern_slope_up,Northern_slope_down,Southern_slope_up,Southern_slope_down,global_ave_freq_up,global_ave_freq_down,Northern_ave_freq_up,Northern_ave_freq_down,Southern_ave_freq_up,Southern_ave_freq_down,global_d_freq_up,global_d_freq_down,Northern_d_freq_up,Northern_d_freq_down,Southern_d_freq_up,Southern_d_freq_down,global_rel_slope_up,global_rel_slope_down,Northern_rel_slope_up,Northern_rel_slope_down,Southern_rel_slope_up,Southern_rel_slope_down,global_h_up,global_h_down,Northern_h_up,Northern_h_down,Southern_h_up,Southern_h_down,global_trend_up,global_trend_down,Northern_trend_up,Northern_trend_down,Southern_trend_up,Southern_trend_down,global_std_freq_up,global_std_freq_down,Northern_std_freq_up,Northern_std_freq_down,Southern_std_freq_up,Southern_std_freq_down
1,-3.247465159470822e-05,-4.7038032610158476e-05,-5.521300204881852e-05,-5.638294840949509e-05,1.1158991092690556e-05,4.728280386926265e-06,0.2453724690566438,0.22344570036601208,0.2631618629760632,0.24062622310069692,0.1933132626452295,0.173168305680598,-0.0015813936761992498,-0.002073999138379523,-0.0019117365517931084,-0.0024428006571792227,-0.0006146722676465266,-0.0009947316557993857,-0.00013234839148646094,-0.00021051214023410828,-0.00020980624405231776,-0.00023431755559700587,5.772491209343278e-05,2.7304536868584885e-05,False,True,False,True,False,False,no trend,decreasing,no trend,decreasing,no trend,no trend,0.002149229542356829,0.0016566489166325842,0.0025689836725546877,0.0019278223014452766,0.003358391003815403,0.002645807552769879
2,-6.778966039716673e-05,-4.463987318251439e-05,-0.00010086116034515973,-7.405479370836941e-05,1.1570486693360094e-05,1.3280555532673531e-05,0.11947857642569942,0.12284641072120736,0.13577459729988722,0.13793216537056394,0.07178960409663249,0.07869918351828974,-0.002344967096589143,-0.00197322960127827,-0.003344978036227908,-0.002669659668924046,0.0005814831330331754,6.481603461643004e-05,-0.0005673792107769491,-0.0003633795478471238,-0.000742857370605094,-0.0005368928524352262,0.00016117217581790291,0.00016875086803902004,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0020762608748257404,0.0018101500188761686,0.002739090460069044,0.0023070635431382486,0.0022014928478010024,0.00218631971961379
3,-7.137767168110106e-05,-5.026675725347513e-05,-0.00010372223984134402,-7.111804324863789e-05,2.3285506420573097e-05,1.5439278001002e-05,0.06240381591353117,0.07361504328718911,0.0741992105266885,0.08473877440932927,0.027885558256640422,0.04106235390520764,-0.0020178189998583465,-0.0015419773968397416,-0.003022524065125279,-0.0022670716097277915,0.0009223682045088402,0.0005799515158285279,-0.001143802997239854,-0.0006828326794208763,-0.001397888725568535,-0.0008392621175414142,0.0008350382017196336,0.00037599593137411315,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0017550950181065123,0.001722050858998687,0.0023811028065740722,0.0023070336787419563,0.0013918853563893243,0.0016520396480885341
4,-5.2647225231102506e-05,-4.2842283346601086e-05,-7.899262140694407e-05,-6.499449607885163e-05,1.4055497783895695e-05,1.021951166747791e-05,0.03458213728438568,0.04587317021847043,0.042777785603260544,0.05377681153597407,0.010598242754852778,0.022743810296851737,-0.0015021549880905732,-0.0011674092803440964,-0.0022061020094059774,-0.0017501687223980475,0.0005578883979494194,0.0005379885662328554,-0.0015223820551679282,-0.0009339289859969395,-0.0018465804223611615,-0.0012085970555426751,0.0013262102132412367,0.00044933155588676904,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.001368788060259695,0.0015134402591342293,0.0018612993216138656,0.0020814252524193645,0.0008107912077502325,0.001239166695284641
5,-3.507699693361752e-05,-3.6557990549427634e-05,-5.1860531207157155e-05,-5.720607156844945e-05,8.26050359674453e-06,8.887024568061996e-06,0.020416130505089333,0.029157039374844054,0.026073568781488147,0.034761528822627834,0.0038601000790401178,0.012755959365351958,-0.001114201365796954,-0.0009352886528162102,-0.0015901992543257137,-0.001387498843938094,0.0002787675258112193,0.0003880674877919897,-0.0017181021117039553,-0.0012538306814843805,-0.0019890077818567505,-0.0016456719110470037,0.0021399713550428593,0.0006966958982482451,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0010591451465869163,0.001281802217979157,0.0014435793205128176,0.0017719883201548314,0.00043683742064977736,0.0009681020719428816
6,-2.6475766617558032e-05,-3.38584019726203e-05,-3.623498998712332e-05,-4.763550138611806e-05,4.626530507957475e-06,6.322943767142502e-06,0.012769090453328753,0.01873438583176258,0.01667562326867621,0.022717164749564214,0.001336941662406062,0.007079109057744652,-0.0008546539951480615,-0.0007710629144352006,-0.0011851487679806622,-0.0011214154257514208,0.00011251192825112986,0.00025421505658427927,-0.002073426193848921,-0.0018072864665366404,-0.0021729316741754276,-0.0020968946570250084,0.0034605328250682374,0.0008931835511454801,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0008401989765469995,0.001053172854414878,0.001147298026213187,0.0014443049754065491,0.000225906374456817,0.0007256948017527238
7,-1.9818008495797008e-05,-2.5090197944440717e-05,-2.6838375729126227e-05,-3.755648119331613e-05,2.2509456971455126e-06,3.38250515205061e-06,0.008347601630653453,0.012117654389560892,0.011049105148370765,0.014930191524798445,0.00044187252672464226,0.0038869944847697733,-0.0006869693130047705,-0.0006184094518631288,-0.0009356645114995399,-0.0008653023984880326,4.081684601853994e-05,0.0001041025644589401,-0.002374096102408956,-0.0020705490631962075,-0.002429008989301152,-0.0025154721646360885,0.0050941064696430295,0.0008702109471222869,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.000683313619893225,0.0008424202423848239,0.0009258434361742252,0.0011475419238814123,0.00010320375716307367,0.0005226088725458927
8,-1.4888967925086726e-05,-1.9112442580821058e-05,-2.0499464078836532e-05,-2.7363797480911012e-05,4.805259180004166e-07,2.575181574479887e-06,0.005606588503443702,0.007871943569119421,0.007475287482247383,0.009840574956193617,0.00013799377227958316,0.0021109048180572355,-0.000529623902546651,-0.00045865395104459014,-0.0007137994361826007,-0.0006429898766904096,9.350733965242923e-06,8.079005956665962e-05,-0.0026556198864856164,-0.0024279191552892486,-0.002742297754771237,-0.0027807112493653994,0.0034822290170229133,0.0012199420610778402,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,0.0005536482561021688,0.0006515626144554023,0.0007461707279161968,0.0008841496484015835,4.491840735500384e-05,0.0003723073602060279
9,-1.0476591292363457e-05,-1.3502902490059827e-05,-1.4013117824455052e-05,-1.9647434717225528e-05,2.730806870044214e-08,1.5211559986544094e-06,0.003818343699807845,0.0051377025695252395,0.005108870733846104,0.006505477390765045,4.172187959126761e-05,0.0011350214177222402,-0.00040285860262677994,-0.0003361916030224501,-0.0005396121508603104,-0.0004711763784774198,-2.6605280194528732e-06,5.883030270630984e-05,-0.002743752819551232,-0.0026281985590511894,-0.0027428992735358516,-0.0030201372684987514,0.0006545263293017537,0.001340200259574893,False,False,False,True,False,False,no trend,no trend,no trend,decreasing,no trend,no trend,0.00044846728671315623,0.0004985233131870004,0.000602767893420886,0.0006795981501382113,1.910407252565826e-05,0.00025043266120858553
10,-7.693185550124125e-06,-9.183214848631375e-06,-1.0371312158564384e-05,-1.2367560458296006e-05,2.4587901020317748e-09,4.5914749662885187e-07,0.002610028842090947,0.003368083051203382,0.0034980587843814956,0.00431348089076448,1.1281842916704417e-05,0.0006014535924622268,-0.0003004174879213,-0.0002397986941429799,-0.00040245044378863035,-0.0003331964859169794,-1.826387273138533e-06,3.35223050071399e-05,-0.002947548098342453,-0.002726540500641843,-0.002964876463732205,-0.002867187955967529,0.00021794223870917194,0.0007633963823363276,False,False,False,False,False,False,no trend,no trend,no trend,no trend,no trend,no trend,0.00035576688033092495,0.0003784139996386472,0.00047779101984831633,0.0005157188113204528,7.680910299557127e-06,0.00015613830897795875
11,-5.561375239822514e-06,-5.974458859320459e-06,-7.519886119399986e-06,-8.504553255749514e-06,0.0,2.259423435820633e-07,0.0017797045983968622,0.0022076361242280296,0.0023869534589069487,0.0028568457217636005,2.6404715588465306e-06,0.00030777733221591777,-0.0002278929111854701,-0.00017399285633061014,-0.0003053210427098798,-0.00023940344619406955,-1.3058166875993928e-06,1.742588534319996e-05,-0.0031248867058230553,-0.002706269748783722,-0.0031504117063277585,-0.002976903229656884,0.0,0.0007341097603106,False,False,False,False,False,False,no trend,no trend,no trend,no trend,no trend,no trend,0.0002828572283495458,0.0002880273119842733,0.00037961846580662046,0.0003932841637218224,2.9000891991934525e-06,9.309231693189446e-05
12,-3.846154416044455e-06,-4.176779679622034e-06,-5.153978895158693e-06,-5.509421221701382e-06,0.0,-4.228719807365034e-08,0.0012059260521190777,0.0014511187046404,0.001617836926250369,0.0018959756906143225,5.025668311376954e-07,0.000149281117520875,-0.00016695836579013997,-0.0001299565340523801,-0.00022381940862389003,-0.00017603222827063982,-5.591742797507903e-07,4.8802168074361745e-06,-0.0031893783282033877,-0.002878317029658216,-0.003185722127819134,-0.002905850137728429,0.0,-0.0002832722502076462,False,False,False,False,False,False,no trend,no trend,no trend,no trend,no trend,no trend,0.00022354671623692592,0.00021987545703422757,0.0002999308694392255,0.0002990022614851168,9.264288219536451e-07,5.579678957567816e-05
13,-2.8426628674642867e-06,-2.826538943016663e-06,-3.7889092921019443e-06,-3.573972253120138e-06,0.0,-1.7710744733445359e-07,0.0008103826555090226,0.0009570179432395356,0.0010872397045627044,0.0012601781811082378,1.8314402339081777e-07,6.984430087553062e-05,-0.00011534486937714002,-9.251636494222993e-05,-0.00015465650498215004,-0.00012294571888170997,-3.025828550483541e-07,-3.4673492828759435e-06,-0.003507803194132697,-0.0029534858389893303,-0.003484888636978053,-0.002836084854268054,0.0,-0.0025357465836772625,False,False,False,False,False,False,no trend,no trend,no trend,no trend,no trend,no trend,0.00017317846305920406,0.00016901206738100018,0.00023235734954245188,0.00022895895135507287,3.7397795491544447e-07,3.48414926545414e-05
14,-1.6279754322737498e-06,-1.7309184882207226e-06,-2.184278500495415e-06,-2.0331101438810364e-06,0.0,-1.425589734122465e-07,0.0005392104629111334,0.0006331802772073134,0.00072345880131838,0.0008386228090150845,2.276919036568698e-08,3.1969509852913e-05,-7.798438173372006e-05,-6.125014045881005e-05,-0.00010459777552693,-8.095357574311988e-05,-1.0246135664559141e-07,-3.5896485317383784e-06,-0.0030191836847610547,-0.0027336898361001727,-0.0030192161551078527,-0.0024243439625364,0.0,-0.004459216737076649,False,False,False,False,False,False,no trend,no trend,no trend,no trend,no trend,no trend,0.0001310810770142213,0.00013069293446556993,0.00017585979980464848,0.00017620822385267646,1.5274037235092808e-07,2.154857006614514e-05
15,-1.2547362321367248e-06,-1.2585734994511325e-06,-1.6834979946975856e-06,-1.673120306703769e-06,0.0,-3.2743396756958376e-08,0.00035594659994896214,0.00042053628311226,0.00047757877064956,0.0005597353095280177,0.0,1.3181716606536228e-05,-5.1940081381330054e-05,-3.915024133448007e-05,-6.968876853179993e-05,-5.201015566531008e-05,0.0,-1.5167537848632855e-06,-0.003525068738728328,-0.0029927821926251314,-0.003525068738729408,-0.0029891276791428156,,-0.002484000963935333,False,False,False,False,False,False,no trend,no trend,no trend,no trend,no trend,no trend,9.671101963647485e-05,0.00010208707757721271,0.00012975859264527834,0.00013722155979248855,0.0,1.2238439176029497e-05
16,-8.31229745192549e-07,-7.422911951754726e-07,-1.115273133366257e-06,-9.851040462231254e-07,0.0,0.0,0.00023184263405466002,0.0002775888155911689,0.0003110666604818289,0.0003707400485518755,0.0,4.98935064340744e-06,-3.174127309715999e-05,-2.4910573038609948e-05,-4.258773138091001e-05,-3.316132516324006e-05,0.0,-7.65421728140934e-07,-0.003585318759778132,-0.00267406737405701,-0.003585318759775628,-0.0026571287619748087,,0.0,False,False,False,False,False,False,no trend,no trend,no trend,no trend,no trend,no trend,6.913229345206186e-05,7.903872821278162e-05,9.275581147215052e-05,0.00010602604191552885,0.0,5.8988641784451885e-06
17,-5.56670241631169e-07,-4.0561066586176414e-07,-7.468926229233759e-07,-5.524292642704659e-07,0.0,0.0,0.00014993134330386964,0.00018277419536943997,0.00020116508101823336,0.00024461234925927337,0.0,1.8098954032068113e-06,-1.9049191216285034e-05,-1.4349697143820002e-05,-2.5558579079669973e-05,-1.9059966139419994e-05,0.0,-5.654801543779306e-07,-0.0037128343504730116,-0.0022191899958410796,-0.0037128343504888826,-0.0022583866511372507,,0.0,False,False,False,False,False,False,no trend,no trend,no trend,no trend,no trend,no trend,4.82267693129163e-05,6.020024242431985e-05,6.470656329957352e-05,8.079773389549696e-05,0.0,2.673946707897408e-06
18,-4.114041736621407e-07,-2.8520359327762897e-07,-5.519870102037794e-07,-3.8481410970907674e-07,0.0,0.0,9.654826253688042e-05,0.0001193275420127817,0.00012954021905905186,0.0001599733551569391,0.0,3.8089403717838604e-07,-1.2648792670411627e-05,-9.80908447054422e-06,-1.697107053309385e-05,-1.3094055818082666e-05,0.0,-1.95884481167734e-07,-0.004261124569745506,-0.0023900902379023242,-0.004261124569753522,-0.002405488772374384,,0.0,False,False,False,False,False,False,no trend,no trend,no trend,no trend,no trend,no trend,3.441675989392366e-05,4.6143203949064216e-05,4.617747123372985e-05,6.191499764961471e-05,0.0,9.467203079222761e-07
19,-3.1786056223425987e-07,-2.1601758682546175e-07,-4.264781755803099e-07,-2.898339626493937e-07,0.0,0.0,6.158580742477961e-05,7.725558537363756e-05,8.263058055225047e-05,0.00010363169097464126,0.0,6.806948456019083e-08,-9.728208989566645e-06,-6.852483826223329e-06,-1.305248059828435e-05,-9.194077993998e-06,0.0,0.0,-0.005161263211860819,-0.002796141997769068,-0.00516126321187628,-0.002796769597442121,,0.0,False,False,False,False,False,False,no trend,no trend,no trend,no trend,no trend,no trend,2.4679918044094763e-05,3.457179858855871e-05,3.31134078002634e-05,4.637025778480467e-05,0.0,3.4217696415746746e-07
20,-1.7202098942861433e-07,-1.0613140990857763e-07,-2.3080308301586743e-07,-1.4239806835831342e-07,0.0,0.0,3.906499898687187e-05,5.011472534062448e-05,5.2414081759035905e-05,6.723966157576947e-05,0.0,0.0,-5.0425172263655955e-06,-3.941101936999269e-06,-6.7656192762963405e-06,-5.287834237898507e-06,0.0,0.0,-0.00440345562242107,-0.002117768962858994,-0.00440345562242113,-0.002117768962859089,,,False,False,False,False,False,False,no trend,no trend,no trend,no trend,no trend,no trend,1.7500332401335683e-05,2.6142475169861393e-05,2.348045250435306e-05,3.5075742134205766e-05,0.0,0.0
